City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
273,Havre-Saint-Pierre,CA,50.2334,-63.5986,37.4,93,100,13.8,overcast clouds
274,Baruun-Urt,MN,46.6806,113.2792,50.94,28,6,15.39,clear sky
275,Mahebourg,MU,-20.4081,57.7,79.09,89,75,1.14,broken clouds
276,Torbay,CA,47.6666,-52.7314,54.37,94,100,24.16,overcast clouds
277,Yerbogachen,RU,61.2767,108.0108,35.42,69,81,14.03,broken clouds
278,Alim,PH,9.5649,122.4876,84.58,68,82,9.28,broken clouds
279,Sinjai,ID,-5.1241,120.253,81.23,82,100,2.13,overcast clouds
280,Keti Bandar,PK,24.1447,67.4497,79.32,90,6,12.17,clear sky
281,Zolotkovo,RU,55.5281,41.1053,27.05,96,69,5.08,broken clouds
282,Nome,US,64.5011,-165.4064,31.15,80,100,16.11,overcast clouds
283,Lisieux,FR,49.1667,0.1667,48.56,91,1,4.99,clear sky
284,Armeria,MX,18.9333,-103.9667,76.3,71,91,3.87,overcast clouds
285,Lakatoro,VU,-16.0999,167.4164,84.69,69,28,3.06,scattered clouds
286,Loa Janan,ID,-0.583,117.095,84.02,72,80,3.87,broken clouds
287,Bowmore,US,34.9421,-79.3031,75.04,41,20,11.5,few clouds
288,Dauphin,CA,51.1494,-100.0502,26.74,68,100,0.0,overcast clouds
289,Walvis Bay,NA,-22.9575,14.5053,64.06,65,6,5.17,clear sky
290,Bluefield,US,37.2698,-81.2223,54.97,24,0,3.44,clear sky
291,Launceston,AU,-41.45,147.1667,62.24,89,75,6.91,broken clouds
292,Russell,US,32.3502,-85.1999,66.11,93,40,3.44,scattered clouds
293,El Rosario,MX,24.2556,-107.1828,81.21,37,70,9.37,broken clouds
294,Rundu,NA,-17.9333,19.7667,63.64,94,49,4.03,light rain
295,Kalmunai,LK,7.4167,81.8167,78.75,86,66,4.7,broken clouds
296,Praxedis Guerrero,MX,31.3667,-106.0167,79.81,6,0,4.52,clear sky
297,Beatrice,US,40.2681,-96.747,45.45,65,0,10.36,clear sky
